service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1861@1,1,1,1,1,1,0,0,20160819,20161119
20.1@2,0,0,0,0,0,1,0,20160819,20161119
02.11@1,1,1,1,1,1,0,0,20160819,20161119
R101@5,0,0,0,0,0,0,0,20160819,20161119
2531@3,0,0,0,0,0,0,1,20160819,20161119
2541@2,0,0,0,0,0,1,0,20160819,20161119
2562@3,0,0,0,0,0,0,1,20160819,20161119
257@1,1,1,1,1,1,0,0,20160819,20161119
187@3,0,0,0,0,0,0,1,20160819,20161119
20.1@1,1,1,1,1,1,0,0,20160819,20161119
A874@1,1,1,1,1,1,0,0,20160819,20161119
274@3,0,0,0,0,0,0,1,20160819,20161119
2602@3,0,0,0,0,0,0,1,20160819,20161119
2632@2,0,0,0,0,0,1,0,20160819,20161119
20.11@2,0,0,0,0,0,1,0,20160819,20161119
210@2,0,0,0,0,0,1,0,20160819,20161119
R21@1,1,1,1,1,1,0,0,20160819,20161119
262@1,1,1,1,1,1,0,0,20160819,20161119
2602@5,0,0,0,0,0,0,0,20160819,20161119
2632@3,0,0,0,0,0,0,1,20160819,20161119
R84@1,1,1,1,1,1,0,0,20160819,20161119
20.61@3,0,0,0,0,0,0,1,20160819,20161119
272@5,0,0,0,0,0,0,0,20160819,20161119
2811@1,1,1,1,1,1,0,0,20160819,20161119
A18@1,1,1,1,1,1,0,0,20160819,20161119
M10@1,1,1,1,1,1,0,0,20160819,20161119
A87@1,1,1,1,1,1,0,0,20160819,20161119
289@3,0,0,0,0,0,0,1,20160819,20161119
2821@3,0,0,0,0,0,0,1,20160819,20161119
188@2,0,0,0,0,0,1,0,20160819,20161119
2561@2,0,0,0,0,0,1,0,20160819,20161119
2562@2,0,0,0,0,0,1,0,20160819,20161119
2812@2,0,0,0,0,0,1,0,20160819,20161119
2815@1,1,1,1,1,1,0,0,20160819,20161119
A13@1,1,1,1,1,1,0,0,20160819,20161119
2563@1,1,1,1,1,1,0,0,20160819,20161119
210@5,0,0,0,0,0,0,0,20160819,20161119
R10@1,1,1,1,1,1,0,0,20160819,20161119
2632@5,0,0,0,0,0,0,0,20160819,20161119
266@1,1,1,1,1,1,0,0,20160819,20161119
2562@5,0,0,0,0,0,0,0,20160819,20161119
257@3,0,0,0,0,0,0,1,20160819,20161119
2802@1,1,1,1,1,1,0,0,20160819,20161119
283@5,0,0,0,0,0,0,0,20160819,20161119
270@1,1,1,1,1,1,0,0,20160819,20161119
271@1,1,1,1,1,1,0,0,20160819,20161119
A10@1,1,1,1,1,1,0,0,20160819,20161119
1101@3,0,0,0,0,0,0,1,20160819,20161119
266@5,0,0,0,0,0,0,0,20160819,20161119
2672@2,0,0,0,0,0,1,0,20160819,20161119
A69@2,0,0,0,0,0,1,0,20160819,20161119
A69@5,0,0,0,0,0,0,0,20160819,20161119
2101@5,0,0,0,0,0,0,0,20160819,20161119
211@1,1,1,1,1,1,0,0,20160819,20161119
265@1,1,1,1,1,1,0,0,20160819,20161119
2633@1,1,1,1,1,1,0,0,20160819,20161119
2843@3,0,0,0,0,0,0,1,20160819,20161119
A73@1,1,1,1,1,1,0,0,20160819,20161119
30.2@1,1,1,1,1,1,0,0,20160819,20161119
344@2,0,0,0,0,0,1,0,20160819,20161119
271@3,0,0,0,0,0,0,1,20160819,20161119
264@2,0,0,0,0,0,1,0,20160819,20161119
264@5,0,0,0,0,0,0,0,20160819,20161119
2661@1,1,1,1,1,1,0,0,20160819,20161119
A13@3,0,0,0,0,0,0,1,20160819,20161119
2542@1,1,1,1,1,1,0,0,20160819,20161119
264@3,0,0,0,0,0,0,1,20160819,20161119
A87@2,0,0,0,0,0,1,0,20160819,20161119
A70@1,1,1,1,1,1,0,0,20160819,20161119
F03@3,0,0,0,0,0,0,1,20160819,20161119
2722@2,0,0,0,0,0,1,0,20160819,20161119
274@1,1,1,1,1,1,0,0,20160819,20161119
284@2,0,0,0,0,0,1,0,20160819,20161119
284@5,0,0,0,0,0,0,0,20160819,20161119
179@1,1,1,1,1,1,0,0,20160819,20161119
180@1,1,1,1,1,1,0,0,20160819,20161119
251@2,0,0,0,0,0,1,0,20160819,20161119
251@5,0,0,0,0,0,0,0,20160819,20161119
T11@2,0,0,0,0,0,1,0,20160819,20161119
T11@5,0,0,0,0,0,0,0,20160819,20161119
T1@2,0,0,0,0,0,1,0,20160819,20161119
T1@5,0,0,0,0,0,0,0,20160819,20161119
344@5,0,0,0,0,0,0,0,20160819,20161119
